word,level
バーベキュー,5
パソコン,5
パン,5
パーティー,5
ビジネス,5
ビール,5
ピアノ,5
ピザ,5
ピンク,5
ピーナッツ,5
フィリピン,5
フィルム,5
フォーク,5
プレゼント,5
ベッド,5
ベージュ,5
ペン,5
ページ,5
ホストファミリー,5
ホテル,5
ホラー,5
ホーム,5
ホームシック,5
ホームステイ,5
ボタン,5
ボランティア,5
ボールペン,5
ポスト,5
マッチ,5
メキシコ,5
メニュー,5
メートル,5
メール,5
レコード,5
レストラン,5
レポート,5
レントゲン,5
ワイシャツ,5
ワイン,5
一つ,5
一昨年,5
一昨日,5
一時,5
一月,5
一番,5
一緒,5
丁度,5
七つ,5
七月,5
万,5
丈夫,5
三つ,5
三時,5
三月,5
上,5
上げる,5
上手,5
上着,5
下,5
下手,5
下痢,5
不味い,5
世界,5
並ぶ,5
並べる,5
中国,5
丸い,5
主婦,5
久しぶり,5
乗り換え,5
乗る,5
乗車,5
九つ,5
九分,5
九月,5
乾杯,5
予報,5
二つ,5
二分,5
二日酔い,5
二月,5
五つ,5
五月,5
交番,5
人々,5
人気,5
今年,5
今度,5
今晩,5
今月,5
今朝,5
今週,5
仕事,5
付ける,5
代,5
休む,5
会う,5
伯母,5
伯父,5
低い,5
住む,5
体温計,5
何故,5
作る,5
作家,5
作文,5
使う,5
例,5
例えば,5
便利,5
便秘,5
信号,5
俳優,5
借りる,5
傘,5
働く,5
僕,5
兄,5
兄さん,5
兄弟,5
先,5
先月,5
先生,5
先発,5
先週,5
入口,5
全然,5
八つ,5
八月,5
八百屋,5
公園,5
六つ,5
六月,5
共通,5
内科,5
再,5
再来月,5
再来週,5
写真,5
冬,5
冷たい,5
出かける,5
出る,5
出口,5
出身,5
分かる,5
切る,5
切手,5
切符,5
初めて,5
別に,5
別れる,5
勉強,5
勤める,5
北,5
医者,5
十一月,5
十二月,5
十月,5
千,5
午前,5
午後,5
半,5
半分,5
南,5
単語,5
卵,5
厚い,5
去年,5
友だち,5
友達,5
口,5
古い,5
可愛い,5
台所,5
右,5
右側,5
号車,5
同じ,5
吐く,5
向こう,5
吸う,5
員,5
問題,5
喉,5
喫茶店,5
四つ,5
四月,5
図書館,5
国,5
園,5
土曜,5
土産,5
地下鉄,5
城,5
塩,5
塾,5
士,5
声,5
売る,5
売店,5
夏,5
夏休み,5
夕飯,5
外科,5
多い,5
多分,5
夜,5
夢,5
大きな,5
大丈夫,5
大人,5
大使館,5
大勢,5
大変,5
大好き,5
大嫌い,5
大学,5
大学生,5
大統領,5
天,5
天の川,5
天ぷら,5
天気,5
太い,5
太る,5
女,5
女の子,5
好き,5
妹,5
姉,5
姉さん,5
始まる,5
始める,5
娘,5
嫌,5
嫌う,5
子供,5
字引,5
季節,5
学割,5
安い,5
定期,5
家族,5
宿題,5
寂しい,5
寒い,5
寝る,5
寮,5
寺,5
封筒,5
専攻,5
将来,5
小さい,5
小さな,5
尻,5
局,5
居る,5
履く,5
山,5
山道,5
川,5
左,5
左側,5
差す,5
師,5
帽子,5
平日,5
年上,5
年生,5
幸せ,5
広い,5
座る,5
廊下,5
弁当,5
弁護士,5
引く,5
弟,5
弾く,5
彼,5
彼女,5
彼氏,5
往復,5
後で,5
後ろ,5
忘れる,5
忙しい,5
怒る,5
怖い,5
思う,5
急ぐ,5
急行,5
悲しい,5
意地悪,5
成績,5
戸,5
手伝う,5
手洗い,5
手紙,5
手術,5
手袋,5
払う,5
抗生,5
持つ,5
指,5
指定,5
捨てる,5
掃除,5
掛かる,5
掛ける,5
撮る,5
改札,5
政治,5
教える,5
教科書,5
散歩,5
整形,5
文化,5
文学,5
文法,5
文章,5
料理,5
新しい,5
新幹線,5
方,5
方言,5
方面,5
日曜日,5
日本,5
日本人,5
日本語,5
日記,5
早い,5
明後日,5
明日,5
易しい,5
春,5
昨日,5
是非,5
昼,5
時,5
時々,5
時半,5
時計,5
晩,5
普通,5
晴れ,5
暇,5
暑い,5
暖かい,5
曇る,5
曲がる,5
書く,5
月曜日,5
有名,5
有名人,5
服,5
朝,5
木曜日,5
本屋,5
本当,5
本棚,5
机,5
村,5
来,5
来年,5
来月,5
来週,5
東,5
枚,5
果物,5
椅子,5
橋,5
次,5
次に,5
歌,5
歌う,5
歌手,5
歌舞伎,5
止め,5
正月,5
歩く,5
歯,5
歯科,5
歳,5
歴史,5
死ぬ,5
残業,5
母,5
毎年,5
毎日,5
毎晩,5
毎週,5
気温,5
水,5
水曜日,5
水色,5
池,5
決める,5
沢山,5
油,5
泊まる,5
泣く,5
注射,5
泳ぐ,5
洗う,5
洗濯,5
浴びる,5
海,5
消しゴム,5
消す,5
消防,5
涼しい,5
渇く,5
渡る,5
温い,5
温泉,5
湖,5
漢字,5
火曜日,5
灰皿,5
灰色,5
点滴,5
無くす,5
煩い,5
熱い,5
父,5
片道,5
牛,5
牛乳,5
牛肉,5
物,5
物質,5
特急,5
犬,5
狭い,5
猫,5
玄関,5
甘い,5
生徒,5
生理,5
産婦人科,5
用事,5
男,5
男の子,5
町,5
畑,5
留学生,5
番,5
番線,5
疲れる,5
病気,5
病院,5
症,5
痛い,5
痛み,5
発,5
発疹,5
発音,5
登る,5
白,5
白い,5
白黒,5
百,5
皆さん,5
皮膚,5
直ぐに,5
眉毛,5
真っ直ぐ,5
眠い,5
眼科,5
眼鏡,5
着る,5
着物,5
知る,5
短い,5
社長,5
神様,5
神社,5
祭り,5
秋,5
科,5
窓,5
立つ,5
立派,5
筆,5
答,5
答える,5
箱,5
箸,5
簡単,5
系,5
素敵,5
紫,5
細い,5
紺色,5
終電,5
経済,5
結婚,5
結構,5
綺麗,5
緊張,5
緑,5
締める,5
締め切り,5
練習,5
織る,5
美味しい,5
美容,5
美術館,5
習う,5
耳,5
耳鼻,5
聞く,5
肉,5
肩,5
背,5
背中,5
背広,5
胸,5
自動車,5
自転車,5
船,5
良い,5
色,5
色々,5
花,5
花瓶,5
花粉,5
若い,5
英語,5
茶,5
茶碗,5
茶色,5
茶色い,5
荷物,5
菓子,5
葉書,5
薄い,5
薬,5
虫歯,5
行,5
袋,5
西,5
要る,5
見る,5
覚える,5
親切,5
角,5
言い方,5
証,5
試合,5
詰まる,5
話,5
話す,5
誰,5
警官,5
警察官,5
豚肉,5
財布,5
買い物,5
買う,5
賑やか,5
質問,5
赤,5
赤い,5
走る,5
起きる,5
足,5
踊る,5
車,5
辞書,5
辺,5
近く,5
近所,5
返す,5
返事,5
速い,5
週末,5
遅い,5
遅刻,5
遊ぶ,5
運動,5
選手,5
部屋,5
郵便,5
酒,5
野球,5
野菜,5
金持ち,5
金曜日,5
金色,5
銀色,5
銀行,5
門,5
閉める,5
開ける,5
降りる,5
降る,5
院,5
院生,5
階段,5
隣,5
雑誌,5
難しい,5
雪,5
零,5
電車,5
青,5
青い,5
静か,5
面白い,5
靴,5
韓国,5
音楽,5
頭,5
願う,5
風呂,5
風邪,5
飛行,5
飛行機,5
食べる,5
食べ物,5
食堂,5
食後,5
飲み物,5
飲む,5
飴,5
飼う,5
首,5
駅,5
骨折,5
高い,5
高校,5
高校生,5
魚,5
鳴く,5
鶏肉,5
黄色い,5
黒,5
黒い,5
黒板,5
鼻,5
鼻水,5
Ｔシャツ,5
あ,4
ああ,4
あいさつ,4
あきらめる,4
あげる,4
あちら,4
ある,4
あんな,4
あんなに,4
いい,4
いかが,4
いく,4
いじめる,4
いっぱい,4
いなか,4
いらっしゃる,4
いる,4
いれる,4
う,4
うまい,4
うらやましい,4
うるさい,4
うれしい,4
え,4
えさ,4
えと,4
お,4
おかげ,4
おく,4
おごる,4
おしゃれ,4
おじさん,4
おっしゃる,4
おなか,4
おにぎり,4
おばさん,4
おめでとう,4
おる,4
お世話,4
お先に,4
お出で,4
お嬢さん,4
お子さん,4
お守り,4
お客,4
お湯,4
お疲れ様,4
お礼,4
お祈り,4
お祝い,4
お返し,4
お釣り,4
お願い,4
か,4
かける,4
かしこまる,4
かな,4
かめ,4
が,4
がっかり,4
がる,4
くじら,4
くださる,4
くる,4
くれる,4
ぐらい,4
けち,4
けど,4
ける,4
げ,4
こう,4
こちら,4
こと,4
ことわざ,4
この,4
ころ,4
こわす,4
こんな,4
ご,4
ござる,4
ごちそう,4
ごみ,4
ごめん,4
ご存じ,4
ご覧,4
さ,4
さあ,4
さん,4
しかし,4
しかた,4
しっかり,4
しゃべる,4
しょう油,4
すく,4
すぐ,4
すごい,4
すっかり,4
すっぽん,4
すり,4
する,4
すると,4
ずいぶん,4
ずっと,4
せる,4
ぜいたく,4
そう,4
その後,4
そば,4
そめる,4
そる,4
それで,4
それでは,4
それほど,4
そろえる,4
そろそろ,4
そんな,4
た,4
たいへん,4
ただ,4
たち,4
たつ,4
たまに,4
ため,4
ためる,4
だ,4
だます,4
だめ,4
ちかん,4
ちゃん,4
ちょうど,4
つく,4
つける,4
て,4
で,4
できる,4
です,4
では,4
と,4
という,4
とか,4
とかす,4
ところが,4
とにかく,4
どう,4
どうぞ,4
どこ,4
どちら,4
どんどん,4
な,4
ない,4
なくなる,4
なさる,4
なぜ,4
なつかしい,4
なべ,4
なる,4
なるほど,4
なん,4
なんだか,4
に,4
にこにこ,4
ぬいぐるみ,4
ね,4
の,4
は,4
はしご,4
はっきり,4
ば,4
ばか,4
ひっかく,4
ひどい,4
ひる,4
びっくり,4
ふう,4
ふる,4
ぺらぺら,4
ほとんど,4
ほめる,4
ます,4
まずい,4
また,4
まだ,4
みたい,4
みな,4
めずらしい,4
めちゃくちゃ,4
めったに,4
もう,4
もう一度,4
もう少し,4
もし,4
もてる,4
もの,4
ものすごい,4
やっぱり,4
やむ,4
やる,4
ゆとり,4
よう,4
ようこそ,4
よく,4
よる,4
よろしい,4
よろしく,4
れる,4
ろうそく,4
を,4
ん,4
アイロン,4
アウト,4
アクセサリー,4
アジア,4
アドバイス,4
アナウンサー,4
アナウンス,4
アニメ,4
アパート,4
アフリカ,4
アルコール,4
インターネット,4
エスカレーター,4
オートバイ,4
カット,4
カラー,4
カレー,4
カンニング,4
ガス,4
ガソリン,4
ガソリンスタンド,4
ガラス,4
キス,4
キャッシュカード,4
キロ,4
クリスマス,4
クレジットカード,4
コピー,4
コンタクト,4
コンピュータ,4
ゴルフ,4
サラダ,4
サラリーマン,4
サンダル,4
サンドイッチ,4
シャツ,4
シャンプー,4
ショッピング,4
シングル,4
ジャケット,4
ジャム,4
スイッチ,4
スカート,4
スクランブル,4
スクリーン,4
ステレオ,4
ステーキ,4
スニーカー,4
スピーチ,4
スプーン,4
スーツ,4
スーツケース,4
スープ,4
セット,4
セーター,4
ソファ,4
ソフト,4
タイプ,4
タオル,4
タクシー,4
ダブル,4
チェック,4
チェックイン,4
チップ,4
チョコレート,4
ツイン,4
テキスト,4
デザート,4
デー,4
トレーナー,4
トロッコ,4
ドイツ,4
ニヤニヤ,4
ニュース,4
ネクタイ,4
ハンドバッグ,4
バイク,4
バナナ,4
バレンタインデー,4
パンダ,4
パート,4
パートナー,4
パーマ,4
ヒット,4
ヒーター,4
ビル,4
ファイル,4
ファックス,4
ファッション,4
フロント,4
ブロー,4
ブーツ,4
プリン,4
プロジェクト,4
プロポーズ,4
プール,4
ヘッドホン,4
ベル,4
ペット,4
ホワイト,4
ボール,4
ポケット,4
ポスター,4
ポップコーン,4
マフラー,4
マンション,4
メッセージ,4
モール,4
ヨーロッパ,4
ラジオ,4
レジ,4
レンジ,4
レンズ,4
ロボット,4
ワンルーム,4
ワープロ,4
一人暮らし,4
一方,4
一生懸命,4
丁寧,4
七,4
三,4
上がる,4
下がる,4
下げる,4
下さる,4
下りる,4
下ろす,4
下宿,4
下着,4
不便,4
不安,4
不思議,4
世界中,4
世話,4
両,4
両方,4
両替,4
両親,4
中,4
中学校,4
中学生,4
主,4
主人,4
主夫,4
乗り換える,4
乗り物,4
乗り遅れる,4
九,4
乾く,4
予定,4
予約,4
予習,4
事務所,4
事故,4
二,4
五,4
亡くなる,4
交差点,4
交換,4
交通,4
人口,4
人形,4
人生,4
今,4
今夜,4
今日,4
仕方,4
他,4
付き,4
付き合う,4
付く,4
代わり,4
以上,4
以下,4
以内,4
以外,4
仰る,4
仲,4
休み,4
休講,4
会場,4
会社,4
会話,4
会議,4
伝える,4
伺う,4
似る,4
似合う,4
住所,4
体,4
何,4
作品,4
係,4
保険,4
信じる,4
俳句,4
個,4
倍,4
倒れる,4
値段,4
健康,4
億,4
優しい,4
優勝,4
元気,4
先輩,4
光,4
光る,4
免許,4
入る,4
入れる,4
入学,4
入院,4
全部,4
八,4
公務員,4
六,4
具合,4
冊,4
写す,4
冷える,4
冷房,4
冷蔵庫,4
凄い,4
出す,4
出張,4
分野,4
刈る,4
列車,4
初め,4
利用,4
到頭,4
券,4
刺す,4
前,4
割れる,4
割合,4
割引,4
力,4
力仕事,4
助かる,4
助ける,4
勇気,4
動く,4
動物,4
勝つ,4
募集,4
匂い,4
包む,4
化粧,4
匹,4
医学,4
十,4
卒業,4
占い,4
危ない,4
危険,4
原因,4
原爆,4
厳しい,4
参る,4
参加,4
友人,4
反対,4
収入,4
取り替える,4
取る,4
受ける,4
受付,4
口座,4
召し上がる,4
可笑しい,4
台,4
台風,4
叱る,4
同僚,4
同情,4
名,4
名前,4
向かう,4
君,4
吹く,4
周り,4
味,4
味噌,4
味方,4
呼ぶ,4
咲く,4
品物,4
喜ぶ,4
喧嘩,4
喫煙,4
嘘,4
噛む,4
四,4
回,4
回る,4
困る,4
国際,4
地下,4
地図,4
地理,4
地震,4
坂,4
場,4
場合,4
場所,4
塗る,4
増える,4
壁,4
壊す,4
壊れる,4
売り場,4
売れる,4
変,4
変える,4
変わる,4
夕方,4
夕食,4
外,4
外国,4
多く,4
大きい,4
大事,4
大体,4
大分,4
大切,4
大学院,4
大家,4
天井,4
夫,4
失敗,4
失礼,4
奥さん,4
奥様,4
奨学,4
女子,4
女性,4
妻,4
婦,4
嬉しい,4
子,4
字,4
学校,4
学生,4
宅,4
宇宙,4
守る,4
安全,4
安心,4
完成,4
宝くじ,4
実は,4
客,4
家,4
家事,4
家具,4
家内,4
家庭,4
家賃,4
寄る,4
寝坊,4
尋ねる,4
小学校,4
小学生,4
小説,4
小鳥,4
少々,4
少ない,4
就職,4
届ける,4
屋,4
屋上,4
展覧,4
履歴,4
島,4
工場,4
工学,4
工業,4
差し上げる,4
市,4
市民,4
布団,4
席,4
帰る,4
平和,4
年,4
年代,4
年間,4
広告,4
床屋,4
店員,4
度,4
座談,4
庭,4
建て,4
建てる,4
建物,4
式,4
引き出し,4
引き出す,4
引っ越し,4
引っ越す,4
弱い,4
強い,4
当たる,4
形,4
影響,4
役に立つ,4
彼ら,4
待ち合わせ,4
待ち遠しい,4
待つ,4
後,4
後輩,4
復習,4
心,4
心配,4
必ず,4
忘れ物,4
思い出,4
思い出す,4
怠け者,4
急,4
性格,4
怪我,4
恥ずかしい,4
息子,4
悩み,4
悪い,4
意味,4
意見,4
愛す,4
感動,4
感情,4
慣れる,4
我慢,4
戦争,4
戻る,4
扇子,4
手,4
手数料,4
打つ,4
技術,4
投げる,4
折る,4
折れる,4
抱く,4
押し入れ,4
押す,4
拝見,4
拾う,4
指輪,4
挨拶,4
振込,4
捕まえる,4
捕まる,4
授業,4
探す,4
推薦,4
描く,4
揺れる,4
携帯,4
撃つ,4
支店,4
放つ,4
放送,4
政府,4
故障,4
教会,4
教室,4
教師,4
教育,4
敬語,4
数える,4
数学,4
文句,4
文字,4
料,4
新聞,4
旅行,4
旅館,4
日,4
日間,4
明るい,4
昔,4
星,4
映画,4
昨夜,4
昼休み,4
昼間,4
時代,4
時間,4
景色,4
晴れる,4
暖房,4
暗い,4
暗証,4
暮れる,4
書,4
書類,4
最初,4
最後,4
最悪,4
最近,4
月,4
朝寝坊,4
朝食,4
期末,4
木,4
木綿,4
未来,4
未満,4
本,4
本当に,4
本当は,4
来る,4
林,4
枝,4
柔らかい,4
柔道,4
校長,4
格好,4
案内,4
桜,4
棚,4
森,4
植える,4
楽,4
楽しい,4
楽しみ,4
楽しむ,4
楽器,4
構う,4
様,4
横,4
機会,4
欲しい,4
止まる,4
止む,4
止める,4
正しい,4
歯医者,4
残す,4
残る,4
残念,4
残高,4
殴る,4
毎月,4
毎朝,4
比べる,4
毛,4
気,4
気に入る,4
気分,4
気持ち,4
水泳,4
水着,4
水道,4
汚い,4
汚す,4
汚れる,4
江戸,4
決まる,4
汽車,4
沸かす,4
沸く,4
治る,4
泊,4
法律,4
泥棒,4
注意,4
注文,4
泳ぎ方,4
洋服,4
活動,4
浅い,4
浴場,4
海岸,4
消える,4
深い,4
混む,4
済む,4
渡す,4
港,4
湯,4
準備,4
滑る,4
漫画,4
漬ける,4
濡れる,4
火,4
火事,4
点,4
無くなる,4
無理,4
無駄遣い,4
焼く,4
焼ける,4
照会,4
熱,4
父親,4
片付ける,4
物価,4
特に,4
特別,4
犯人,4
状,4
猿,4
珍しい,4
現金,4
理想,4
理由,4
環境,4
生,4
生きる,4
生き物,4
生じる,4
生まれ,4
生まれる,4
生命,4
生活,4
生物,4
生産,4
産業,4
用,4
用意,4
田舎,4
申し上げる,4
申し訳,4
申し込み,4
申す,4
男性,4
留守,4
留守番,4
番号,4
番組,4
畳,4
痩せる,4
発表,4
皿,4
盆踊り,4
盗む,4
盛ん,4
目的,4
直す,4
直る,4
相変わらず,4
相手,4
相談,4
看護,4
真ん中,4
眠る,4
着く,4
着替える,4
知らせる,4
知り合う,4
石,4
砂,4
砂糖,4
研究,4
硬い,4
磨く,4
社,4
祈る,4
祖母,4
祖父,4
禁煙,4
私,4
秘密,4
移る,4
税金,4
種類,4
空,4
空く,4
空手,4
空気,4
空港,4
突然,4
立てる,4
競争,4
竹,4
笑う,4
答え,4
米,4
糸,4
約束,4
紅茶,4
紅葉,4
紙,4
素晴らしい,4
細かい,4
紹介,4
終わる,4
経験,4
結婚式,4
結果,4
給料,4
絵,4
絵文字,4
絶対,4
絹,4
続く,4
続ける,4
線,4
編む,4
縦,4
置く,4
美しい,4
習慣,4
翻訳,4
考える,4
者,4
聞こえる,4
育てる,4
脱ぐ,4
腕,4
自分,4
自動,4
自由,4
致す,4
興味,4
色んな,4
花見,4
芸術,4
若者,4
苦い,4
英会話,4
茶店,4
草,4
落ちる,4
落ち込む,4
落とす,4
落語,4
葉,4
虫,4
虫めがね,4
蚊,4
血,4
行う,4
行く,4
表,4
表す,4
表情,4
裏,4
複雑,4
褒める,4
西洋,4
見える,4
見せる,4
見つかる,4
見つける,4
見物,4
見舞い,4
規則,4
親,4
親しい,4
親せき,4
親友,4
観光,4
触る,4
言う,4
言葉,4
計画,4
記号,4
訪ねる,4
訳す,4
試験,4
詩,4
誕生,4
誘う,4
語,4
誠に,4
説明,4
課長,4
調べる,4
調査,4
講堂,4
講義,4
謝る,4
警察,4
象,4
負ける,4
貧乏,4
貯金,4
貸す,4
費,4
貼る,4
貿易,4
資料,4
賛成,4
贈り物,4
赤ちゃん,4
赤ん坊,4
起こす,4
起こる,4
趣味,4
足す,4
足りる,4
踊り,4
踏む,4
身ぶり,4
転ぶ,4
軽い,4
辛い,4
辞典,4
込む,4
迎える,4
近い,4
返品,4
迷う,4
迷信,4
退院,4
送る,4
逃げる,4
途中,4
通う,4
通り,4
通る,4
通帳,4
連れる,4
連絡,4
進む,4
遅れる,4
遊び,4
運ぶ,4
道,4
道具,4
違い,4
違う,4
遠い,4
遠く,4
遠慮,4
適当,4
選ぶ,4
郊外,4
部下,4
部長,4
都,4
都合,4
酷い,4
重い,4
金,4
金額,4
釣る,4
鉛筆,4
銃,4
鍵,4
鏡,4
長い,4
閉まる,4
開く,4
間,4
間に合う,4
間違い,4
間違える,4
関係,4
降り出す,4
隅,4
階,4
集まる,4
集める,4
離れる,4
離婚,4
雨,4
雲,4
電報,4
電子,4
電気,4
電池,4
電灯,4
電話,4
非常,4
面接,4
靴下,4
音,4
頂く,4
預け入れ,4
預金,4
頑張る,4
頼む,4
顔,4
風,4
飛ぶ,4
飛行場,4
食,4
食事,4
食料,4
食費,4
飾る,4
館,4
首相,4
駅員,4
駐車,4
騒ぐ,4
驚く,4
高等,4
髪,4
髪形,4
髭,4
鳥,4
鳴る,4
鹿,4
あこがれる,3
あやまる,3
いためる,3
いや,3
うまみ,3
うり,3
おしゃべり,3
おじぎ,3
おすすめ,3
おせる,3
お忙しい,3
お昼,3
かつお節,3
きちんと,3
きっかけ,3
きっと,3
こげる,3
こんぶ,3
ごと,3
ご来光,3
さて,3
さらに,3
しばらく,3
しょうが,3
しょうゆ,3
すぎる,3
すでに,3
すばらしい,3
すべて,3
すまん,3
ずし,3
その他,3
たった,3
だし,3
ちる,3
つい,3
つまむ,3
つまり,3
ところ,3
となり,3
ど,3
なおす,3
なかなか,3
にぎる,3
に対する,3
ぬれる,3
のける,3
のる,3
はずかしい,3
ふだん,3
ふち,3
ほど,3
ますます,3
みりん,3
むく,3
むだ,3
も,3
やっと,3
やはり,3
やわらかい,3
ゆる,3
より,3
わいわい,3
わさび,3
を通して,3
アカデミー,3
アク,3
イベント,3
インターンシップ,3
カウンター,3
カ月,3
ガイド,3
ガリ,3
クッキー,3
コミュニティー,3
コンベア,3
コース,3
ゴミ,3
ゴミ箱,3
ゴム,3
サイド,3
サマー,3
サラダ油,3
ショック,3
シーン,3
ストーリー,3
スポンジ,3
スライス,3
センター,3
ソフトドリンク,3
ダウン,3
チェーン,3
ティー,3
ドーム,3
ネタ,3
ノズル,3
ノーベル,3
バッグ,3
ビニール,3
プロ,3
プログラム,3
ベルト,3
ベルリン,3
ペットボトル,3
ホール,3
ボックス,3
メリット,3
ラグビー,3
リサイクル,3
ルー,3
ルート,3
一,3
一体,3
一味,3
一家,3
一層,3
一流,3
一生,3
一瞬,3
一種,3
一致,3
一般,3
一言,3
万一,3
上手い,3
上旬,3
上達,3
下山,3
不利,3
不十分,3
不足,3
中学,3
中火,3
主張,3
事前,3
交流,3
人,3
人数,3
今に,3
今にも,3
今回,3
今後,3
代表,3
以前,3
以来,3
仲よく,3
件名,3
企業,3
会,3
会合,3
会員,3
会計,3
伸,3
佐藤,3
体験,3
余る,3
余分,3
使用,3
価値,3
個室,3
優先,3
先日,3
入力,3
入場,3
入門,3
全国,3
内,3
内容,3
円,3
再び,3
出会い,3
出会う,3
出品,3
分,3
分かれる,3
分ける,3
分別,3
分析,3
初日,3
別,3
利口,3
利益,3
制度,3
刺激,3
加える,3
努力,3
効果,3
勤勉,3
包装,3
化,3
化学,3
十分,3
千尋,3
半ば,3
協力,3
単なる,3
単位,3
博物館,3
収める,3
収穫,3
取り上げる,3
取れる,3
受け入れる,3
受け取る,3
受賞,3
口直し,3
可能,3
合う,3
吉田,3
同一,3
名誉,3
吸収,3
味わう,3
和風,3
和食,3
品,3
哲学,3
唯一,3
商品,3
商売,3
図書,3
国会,3
国境,3
国家,3
国民,3
国語,3
土地,3
在学,3
地位,3
地平線,3
基本,3
夕べ,3
外す,3
外交,3
外出,3
多少,3
多様,3
夜中,3
夜明け,3
大,3
大さじ,3
大した,3
大会,3
大半,3
大阪,3
姫,3
嫌い,3
学,3
学ぶ,3
学問,3
学期,3
学習,3
学者,3
定番,3
宛先,3
宜しい,3
実感,3
実際,3
宮,3
富士,3
対応,3
対象,3
尊敬,3
少し,3
少女,3
少年,3
居酒屋,3
山中,3
山小屋,3
山梨,3
山頂,3
岩,3
左右,3
巻物,3
帯,3
帰り,3
帰国,3
幅,3
年始,3
年末,3
年齢,3
広がる,3
広げる,3
広島,3
弥,3
弱火,3
強力,3
役立つ,3
得意,3
徹夜,3
必要,3
忘年,3
急激,3
急速,3
性,3
恐れる,3
息抜き,3
患者,3
悪口,3
悪魔,3
情報,3
意外,3
意思,3
意識,3
愛する,3
愛知,3
感,3
感じる,3
感覚,3
成功,3
成長,3
所,3
手品,3
打ち上げる,3
投書,3
抵抗,3
招待,3
拝啓,3
持ち帰る,3
採用,3
接する,3
揚げる,3
放題,3
救う,3
教授,3
敬具,3
数,3
文明,3
新た,3
新年,3
新鮮,3
方法,3
日の出,3
日常,3
早期,3
明かり,3
明ける,3
明らか,3
明確,3
昼食,3
時には,3
時期,3
暗記,3
書斎,3
書物,3
最も,3
最大,3
有る,3
有利,3
有意義,3
服装,3
期待,3
期間,3
木曜,3
本人,3
本場,3
本格,3
本気,3
本物,3
札,3
材料,3
来日,3
様々,3
様子,3
様式,3
権利,3
次々,3
正午,3
母親,3
母語,3
気づかう,3
気味,3
気軽,3
汁,3
求める,3
決して,3
決心,3
注ぐ,3
